,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
56,268.0,94.0,29.0,88.0,8.0,7.0,33.0,8.0,1.0,112.0,202.0,66.0,1.0,2.0,9893.0,9732.0,213.0,204.0,27.0,37.0,121.0,35.07462686567164,10.82089552238806,32.83582089552239,2.985074626865672,2.611940298507463,12.313432835820896,2.985074626865672,0.373134328358209
57,243.0,80.0,34.0,86.0,4.0,16.0,17.0,5.0,1.0,116.0,177.0,66.0,0.0,2.0,9993.0,9833.0,196.0,189.0,25.0,29.0,103.0,32.92181069958848,13.991769547325102,35.390946502057616,1.646090534979424,6.584362139917696,6.995884773662551,2.05761316872428,0.411522633744856
58,327.0,129.0,31.0,106.0,11.0,13.0,31.0,6.0,0.0,111.0,255.0,72.0,0.0,2.0,9972.0,9812.0,247.0,261.0,25.0,41.0,137.0,39.44954128440367,9.480122324159021,32.415902140672785,3.363914373088685,3.9755351681957185,9.480122324159021,1.834862385321101,0.0
59,374.0,139.0,40.0,126.0,6.0,21.0,33.0,8.0,1.0,120.0,297.0,77.0,2.0,5.0,9769.0,9604.0,277.0,300.0,26.0,48.0,159.0,37.16577540106952,10.695187165775401,33.68983957219251,1.6042780748663101,5.614973262032086,8.823529411764707,2.1390374331550803,0.26737967914438504
60,231.0,82.0,27.0,67.0,7.0,12.0,26.0,9.0,1.0,113.0,171.0,60.0,0.0,0.0,9780.0,9622.0,209.0,187.0,18.0,26.0,93.0,35.497835497835496,11.688311688311689,29.004329004329005,3.0303030303030303,5.194805194805195,11.255411255411255,3.896103896103896,0.4329004329004329
61,258.0,81.0,33.0,83.0,10.0,12.0,27.0,8.0,4.0,135.0,190.0,68.0,1.0,2.0,9886.0,9725.0,235.0,193.0,26.0,39.0,110.0,31.3953488372093,12.790697674418604,32.17054263565891,3.875968992248062,4.651162790697675,10.465116279069768,3.10077519379845,1.550387596899225
62,230.0,69.0,26.0,75.0,9.0,14.0,27.0,10.0,0.0,130.0,188.0,42.0,2.0,2.0,9954.0,9792.0,201.0,176.0,16.0,38.0,102.0,30.0,11.304347826086957,32.608695652173914,3.9130434782608696,6.086956521739131,11.73913043478261,4.3478260869565215,0.0
63,232.0,85.0,20.0,73.0,3.0,18.0,25.0,7.0,1.0,132.0,175.0,57.0,1.0,2.0,9945.0,9784.0,218.0,174.0,25.0,33.0,98.0,36.63793103448276,8.620689655172415,31.46551724137931,1.293103448275862,7.758620689655173,10.775862068965518,3.0172413793103448,0.43103448275862066
64,253.0,89.0,30.0,77.0,5.0,16.0,32.0,3.0,1.0,130.0,183.0,70.0,2.0,3.0,9786.0,9623.0,209.0,207.0,24.0,22.0,109.0,35.17786561264822,11.857707509881424,30.434782608695652,1.976284584980237,6.324110671936759,12.648221343873518,1.1857707509881423,0.3952569169960474
65,227.0,87.0,28.0,72.0,9.0,10.0,21.0,0.0,0.0,115.0,158.0,69.0,0.0,3.0,9851.0,9690.0,190.0,168.0,29.0,30.0,93.0,38.32599118942731,12.334801762114537,31.718061674008812,3.9647577092511015,4.405286343612334,9.251101321585903,0.0,0.0
66,303.0,110.0,32.0,110.0,7.0,10.0,28.0,5.0,1.0,127.0,225.0,78.0,0.0,3.0,10035.0,9874.0,230.0,235.0,32.0,36.0,138.0,36.303630363036305,10.561056105610561,36.303630363036305,2.31023102310231,3.3003300330033003,9.24092409240924,1.6501650165016502,0.33003300330033003
67,222.0,87.0,23.0,70.0,5.0,16.0,15.0,4.0,2.0,142.0,160.0,62.0,0.0,3.0,9724.0,9563.0,235.0,167.0,34.0,21.0,85.0,39.189189189189186,10.36036036036036,31.53153153153153,2.2522522522522523,7.207207207207207,6.756756756756757,1.8018018018018018,0.9009009009009009
68,255.0,87.0,29.0,89.0,5.0,15.0,27.0,3.0,0.0,116.0,194.0,61.0,0.0,2.0,9962.0,9802.0,209.0,205.0,27.0,23.0,116.0,34.11764705882353,11.372549019607844,34.90196078431372,1.9607843137254901,5.882352941176471,10.588235294117647,1.1764705882352942,0.0
69,269.0,84.0,29.0,94.0,7.0,13.0,33.0,6.0,3.0,135.0,213.0,56.0,1.0,3.0,9942.0,9780.0,217.0,210.0,18.0,41.0,127.0,31.226765799256505,10.780669144981413,34.94423791821561,2.6022304832713754,4.83271375464684,12.267657992565056,2.2304832713754648,1.1152416356877324
70,263.0,95.0,27.0,86.0,7.0,13.0,25.0,7.0,3.0,122.0,204.0,59.0,1.0,3.0,10007.0,9845.0,211.0,180.0,31.0,52.0,111.0,36.12167300380228,10.26615969581749,32.69961977186312,2.661596958174905,4.942965779467681,9.505703422053232,2.661596958174905,1.1406844106463878
71,237.0,84.0,32.0,74.0,3.0,12.0,26.0,6.0,0.0,130.0,175.0,62.0,1.0,2.0,9864.0,9703.0,201.0,182.0,26.0,29.0,100.0,35.44303797468354,13.50210970464135,31.223628691983123,1.2658227848101267,5.063291139240507,10.970464135021096,2.5316455696202533,0.0
72,292.0,94.0,34.0,106.0,8.0,13.0,31.0,5.0,1.0,121.0,236.0,56.0,0.0,0.0,9988.0,9830.0,229.0,229.0,17.0,46.0,137.0,32.19178082191781,11.643835616438356,36.3013698630137,2.73972602739726,4.4520547945205475,10.616438356164384,1.7123287671232876,0.3424657534246575
73,255.0,87.0,21.0,95.0,7.0,17.0,22.0,5.0,1.0,117.0,198.0,57.0,1.0,4.0,9957.0,9794.0,230.0,213.0,22.0,20.0,117.0,34.11764705882353,8.235294117647058,37.254901960784316,2.7450980392156863,6.666666666666667,8.627450980392156,1.9607843137254901,0.39215686274509803
74,285.0,90.0,39.0,90.0,6.0,13.0,39.0,8.0,0.0,140.0,224.0,61.0,0.0,3.0,9971.0,9810.0,255.0,232.0,22.0,31.0,129.0,31.57894736842105,13.68421052631579,31.57894736842105,2.1052631578947367,4.56140350877193,13.68421052631579,2.807017543859649,0.0
75,347.0,130.0,40.0,119.0,5.0,12.0,28.0,9.0,4.0,133.0,257.0,90.0,1.0,1.0,9854.0,9694.0,270.0,261.0,42.0,44.0,147.0,37.46397694524496,11.527377521613833,34.293948126801155,1.440922190201729,3.4582132564841497,8.069164265129682,2.5936599423631126,1.1527377521613833
