,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
9066,12,0,75.21527777777777,0.0,70.95833333333333,28.0,1.0,75.0,60.0,0.012,1117.0,22.0,0.0
9067,10,0,87.01388888888889,0.0,79.0,15.0,0.0,87.0,60.0,0.1892857142857142,1165.0,126.0,0.0
9068,9,0,105.70833333333331,0.0,99.53472222222224,16.0,1.0,105.0,60.0,0.2058823529411764,1194.0,105.0,0.0
9069,7,0,95.75694444444444,1.0,91.0,24.0,2.0,95.0,60.0,0.2571428571428571,1235.0,169.0,0.0
9070,15,2,116.93055555555556,0.0,109.0,22.0,0.0,116.0,60.0,0.1406844106463878,1131.0,51.0,13.333333333333334
9071,7,0,118.94444444444444,0.0,116.52083333333331,19.0,0.0,118.0,60.0,0.12109375,1132.0,49.0,0.0
9072,8,0,116.125,9.0,111.0,2.0,0.0,116.0,60.0,0.1406844106463878,1138.0,53.0,0.0
9073,10,0,98.09027777777776,1.0,94.16666666666669,10.0,1.0,98.0,60.0,0.2271186440677966,1206.0,145.0,0.0
9074,6,1,93.53472222222224,0.0,88.19444444444444,28.0,3.0,93.0,60.0,0.2582781456953642,1216.0,168.0,16.666666666666664
9075,9,0,88.40972222222223,3.0,84.0,13.0,0.0,88.0,60.0,0.1937716262975778,1179.0,134.0,0.0
9076,11,0,84.6875,0.0,82.0,17.0,0.0,84.0,60.0,0.1397849462365591,1149.0,88.0,0.0
9077,8,0,89.41666666666667,1.0,86.0,19.0,0.0,89.0,60.0,0.2179930795847751,1187.0,149.0,0.0
9078,16,4,87.92361111111111,2.0,83.51388888888889,25.0,0.0,87.0,60.0,0.1892857142857142,1159.0,122.0,25.0
9079,2,0,137.46527777777777,3.0,135.0,4.0,0.0,137.0,60.0,0.0326530612244898,1121.0,11.0,0.0
9080,18,0,71.97916666666667,0.0,64.375,27.0,2.0,71.0,60.0,0.0115384615384615,1115.0,16.0,0.0
9081,9,0,86.8125,2.0,82.18055555555556,25.0,0.0,86.0,60.0,0.176056338028169,1160.0,116.0,0.0
9082,14,0,214.92361111111111,0.0,210.0,28.0,0.0,214.0,60.0,0.0,1117.0,0.0,0.0
9083,8,0,97.4375,5.0,92.0,7.0,0.0,97.0,60.0,0.2394822006472491,1222.0,152.0,0.0
9084,10,1,95.60416666666669,1.0,89.38888888888889,19.0,0.0,95.0,60.0,0.2571428571428571,1232.0,168.0,10.0
9085,4,1,89.83333333333333,6.0,85.0,2.0,0.0,89.0,60.0,0.2179930795847751,1191.0,148.0,25.0
9086,12,0,109.49305555555556,1.0,100.11111111111111,4.0,0.0,109.0,60.0,0.1724137931034483,1174.0,82.0,0.0
9087,2,0,91.6875,4.0,86.0,4.0,0.0,91.0,60.0,0.25,1194.0,159.0,0.0
9088,3,0,70.61111111111111,0.0,66.0,7.0,0.0,70.0,60.0,0.00836820083682,1107.0,13.0,0.0
9089,13,0,76.26388888888889,0.0,72.17361111111111,20.0,1.0,76.0,60.0,0.0164609053497942,1110.0,24.0,0.0
9090,10,1,97.03472222222224,1.0,92.28472222222224,17.0,0.0,97.0,60.0,0.2394822006472491,1220.0,151.0,10.0
9091,13,1,73.88888888888889,1.0,67.16666666666667,20.0,0.0,73.0,60.0,0.0158730158730158,1115.0,20.0,7.6923076923076925
9092,6,0,186.43055555555557,0.0,183.0,8.0,0.0,186.0,60.0,0.0,1105.0,0.0,0.0
9093,11,2,100.79861111111111,0.0,97.0,16.0,0.0,100.0,60.0,0.2300319488817891,1217.0,141.0,18.181818181818183
9094,10,0,94.625,6.0,87.84027777777777,4.0,0.0,94.0,60.0,0.2770700636942675,1228.0,174.0,0.0
9095,15,0,94.29166666666669,0.0,92.0,28.0,3.0,94.0,60.0,0.2770700636942675,1223.0,174.0,0.0
9096,6,0,119.95833333333331,6.0,115.0,4.0,0.0,119.0,60.0,0.1220472440944882,1135.0,50.0,0.0
9097,11,0,98.70833333333331,10.0,91.0,3.0,1.0,98.0,60.0,0.2271186440677966,1205.0,145.0,0.0
9098,6,0,83.41666666666667,0.0,80.0,6.0,0.0,83.0,60.0,0.1273408239700374,1140.0,77.0,0.0
9099,5,0,153.14583333333334,0.0,147.0,3.0,0.0,153.0,60.0,0.0136986301369863,1092.0,5.0,0.0
9100,7,0,88.05555555555556,0.0,85.06944444444444,15.0,1.0,88.0,60.0,0.1937716262975778,1181.0,134.0,0.0
9101,8,2,87.76388888888889,2.0,85.5,25.0,1.0,87.0,60.0,0.1892857142857142,1167.0,124.0,25.0
9102,11,0,98.40277777777776,0.0,92.0,9.0,0.0,98.0,60.0,0.2271186440677966,1205.0,145.0,0.0
9103,15,3,103.68055555555556,2.0,98.33333333333331,15.0,1.0,103.0,60.0,0.2053872053872054,1187.0,112.0,20.0
9104,7,2,97.65972222222224,12.0,92.72222222222224,2.0,0.0,97.0,60.0,0.2394822006472491,1223.0,150.0,28.57142857142857
9105,10,0,71.44444444444444,0.0,67.5,20.0,2.0,71.0,60.0,0.0115384615384615,1123.0,16.0,0.0
9106,9,0,84.03472222222223,0.0,80.0,14.0,0.0,84.0,60.0,0.1397849462365591,1151.0,88.0,0.0
9107,5,0,90.51388888888889,3.0,88.0,6.0,0.0,90.0,60.0,0.2076124567474048,1194.0,148.0,0.0
9108,24,0,125.04166666666669,0.0,115.78472222222224,24.0,0.0,125.0,60.0,0.0530612244897959,1108.0,30.0,0.0
9109,7,0,92.59027777777776,0.0,89.0,18.0,0.0,92.0,60.0,0.2771929824561403,1195.0,166.0,0.0
9110,9,0,85.79861111111111,1.0,79.68055555555556,12.0,2.0,85.0,60.0,0.1423487544483986,1156.0,103.0,0.0
