,susceptible,exposed,mild,severe,recovered,asymptomatic
193,0.0,0.02,0.13,0.01,47.67,0.05
194,0.0,0.0,0.14,0.03,47.67,0.05
195,0.0,0.01,0.05,0.03,47.76,0.04
196,0.0,0.01,0.05,0.03,47.76,0.04
197,0.0,0.0,0.06,0.04,47.76,0.04
198,0.0,0.02,0.02,0.03,47.85,0.0
199,0.0,0.02,0.02,0.03,47.85,0.0
200,0.0,0.0,0.06,0.04,47.85,0.01
201,0.0,0.0,0.05,0.02,47.88,0.01
202,0.0,0.01,0.05,0.02,47.88,0.01
203,0.0,0.0,0.07,0.03,47.88,0.02
204,0.0,0.01,0.06,0.02,47.9,0.02
205,0.0,0.02,0.06,0.02,47.9,0.02
206,0.0,0.0,0.09,0.03,47.9,0.04
207,0.0,0.01,0.05,0.02,47.96,0.03
208,0.0,0.04,0.05,0.02,47.96,0.04
209,0.0,0.0,0.11,0.02,47.96,0.06
210,0.0,0.01,0.09,0.01,48.0,0.06
211,0.0,0.02,0.09,0.01,48.0,0.06
212,0.0,0.0,0.14,0.01,48.0,0.06
213,0.0,0.03,0.11,0.0,48.06,0.04
214,0.0,0.05,0.11,0.0,48.06,0.06
215,0.0,0.0,0.19,0.03,48.06,0.1
216,0.0,0.04,0.13,0.03,48.15,0.09
217,0.0,0.08,0.13,0.03,48.15,0.11
218,0.0,0.01,0.23,0.04,48.15,0.12
219,0.0,0.06,0.18,0.04,48.21,0.11
220,0.0,0.13,0.18,0.04,48.21,0.13
221,0.0,0.0,0.32,0.07,48.21,0.15
222,0.0,0.02,0.24,0.04,48.38,0.1
223,0.0,0.06,0.24,0.04,48.38,0.13
224,0.0,0.0,0.3,0.04,48.38,0.17
225,0.0,0.01,0.2,0.03,48.54,0.12
226,0.0,0.03,0.2,0.03,48.54,0.12
227,0.0,0.0,0.24,0.04,48.54,0.13
228,0.0,0.0,0.1,0.01,48.75,0.12
229,0.0,0.04,0.1,0.01,48.75,0.15
230,0.0,0.0,0.16,0.04,48.75,0.18
231,0.0,0.04,0.1,0.04,48.88,0.1
232,0.0,0.07,0.1,0.04,48.88,0.12
233,0.0,0.0,0.16,0.1,48.88,0.14
234,0.0,0.04,0.12,0.09,48.94,0.15
235,0.0,0.07,0.12,0.09,48.94,0.17
236,0.0,0.0,0.19,0.12,48.94,0.18
237,0.0,0.01,0.13,0.09,49.12,0.09
238,0.0,0.01,0.13,0.09,49.12,0.1
