,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
12,272.0,88.0,23.0,102.0,8.0,16.0,26.0,6.0,3.0,115.0,261.0,11.0,1.0,2.0,9745.0,9584.0,206.0,198.0,5.0,69.0,128.0,32.35294117647059,8.455882352941176,37.5,2.9411764705882355,5.882352941176471,9.558823529411764,2.2058823529411766,1.1029411764705883
13,292.0,73.0,24.0,107.0,8.0,22.0,43.0,11.0,4.0,105.0,279.0,13.0,0.0,1.0,9949.0,9790.0,195.0,204.0,4.0,84.0,150.0,25.0,8.219178082191782,36.64383561643836,2.73972602739726,7.534246575342466,14.726027397260275,3.767123287671233,1.36986301369863
14,303.0,82.0,29.0,104.0,13.0,18.0,46.0,11.0,0.0,115.0,292.0,11.0,1.0,2.0,10005.0,9844.0,203.0,213.0,8.0,82.0,150.0,27.062706270627064,9.570957095709572,34.32343234323432,4.29042904290429,5.9405940594059405,15.181518151815181,3.6303630363036303,0.0
15,208.0,59.0,19.0,75.0,8.0,16.0,22.0,7.0,2.0,108.0,189.0,19.0,1.0,3.0,9910.0,9748.0,172.0,143.0,8.0,57.0,97.0,28.365384615384617,9.134615384615385,36.05769230769231,3.8461538461538463,7.6923076923076925,10.576923076923077,3.3653846153846154,0.9615384615384616
16,355.0,89.0,24.0,144.0,12.0,19.0,51.0,10.0,6.0,145.0,343.0,12.0,2.0,1.0,9928.0,9767.0,216.0,242.0,4.0,109.0,195.0,25.070422535211268,6.76056338028169,40.563380281690144,3.380281690140845,5.352112676056338,14.366197183098592,2.816901408450704,1.6901408450704225
17,311.0,73.0,24.0,124.0,11.0,29.0,39.0,10.0,1.0,143.0,301.0,10.0,0.0,1.0,10040.0,9881.0,223.0,231.0,2.0,78.0,163.0,23.472668810289388,7.717041800643087,39.87138263665595,3.536977491961415,9.32475884244373,12.540192926045016,3.215434083601286,0.3215434083601286
18,341.0,100.0,33.0,136.0,14.0,19.0,36.0,3.0,0.0,125.0,327.0,14.0,1.0,2.0,9958.0,9797.0,227.0,246.0,7.0,88.0,172.0,29.325513196480937,9.67741935483871,39.882697947214076,4.105571847507331,5.571847507331379,10.557184750733137,0.8797653958944281,0.0
19,306.0,87.0,31.0,118.0,6.0,19.0,37.0,7.0,1.0,117.0,295.0,11.0,0.0,2.0,10008.0,9848.0,202.0,204.0,7.0,95.0,155.0,28.431372549019606,10.130718954248366,38.56209150326797,1.9607843137254901,6.209150326797386,12.091503267973856,2.287581699346405,0.32679738562091504
20,376.0,101.0,38.0,138.0,10.0,22.0,52.0,10.0,5.0,117.0,364.0,12.0,1.0,1.0,9812.0,9652.0,243.0,266.0,7.0,103.0,190.0,26.861702127659573,10.106382978723405,36.702127659574465,2.6595744680851063,5.851063829787234,13.829787234042554,2.6595744680851063,1.3297872340425532
21,288.0,69.0,31.0,113.0,2.0,19.0,43.0,10.0,1.0,121.0,280.0,8.0,1.0,3.0,9922.0,9760.0,199.0,205.0,3.0,80.0,156.0,23.958333333333332,10.76388888888889,39.236111111111114,0.6944444444444444,6.597222222222222,14.930555555555555,3.4722222222222223,0.3472222222222222
22,284.0,84.0,22.0,112.0,11.0,10.0,40.0,4.0,1.0,136.0,277.0,7.0,0.0,1.0,9888.0,9729.0,210.0,197.0,5.0,82.0,152.0,29.577464788732396,7.746478873239437,39.436619718309856,3.8732394366197185,3.5211267605633805,14.084507042253522,1.408450704225352,0.352112676056338
23,243.0,58.0,24.0,90.0,8.0,21.0,30.0,11.0,1.0,116.0,226.0,17.0,1.0,2.0,9834.0,9673.0,194.0,166.0,7.0,70.0,120.0,23.868312757201647,9.876543209876543,37.03703703703704,3.292181069958848,8.641975308641975,12.345679012345679,4.526748971193416,0.411522633744856
24,246.0,75.0,14.0,102.0,2.0,19.0,30.0,3.0,1.0,116.0,235.0,11.0,0.0,2.0,9998.0,9838.0,169.0,186.0,8.0,52.0,132.0,30.48780487804878,5.691056910569106,41.46341463414634,0.8130081300813008,7.723577235772358,12.195121951219512,1.2195121951219512,0.4065040650406504
25,238.0,67.0,18.0,89.0,10.0,14.0,33.0,5.0,2.0,109.0,225.0,13.0,0.0,0.0,9999.0,9841.0,176.0,160.0,6.0,72.0,122.0,28.15126050420168,7.563025210084033,37.39495798319328,4.201680672268908,5.882352941176471,13.865546218487395,2.100840336134454,0.8403361344537815
26,339.0,88.0,30.0,141.0,9.0,18.0,35.0,15.0,3.0,138.0,323.0,16.0,0.0,5.0,9821.0,9658.0,238.0,234.0,6.0,99.0,176.0,25.958702064896755,8.849557522123893,41.5929203539823,2.6548672566371683,5.3097345132743365,10.32448377581121,4.424778761061947,0.8849557522123894
27,308.0,81.0,30.0,119.0,11.0,18.0,40.0,8.0,1.0,124.0,298.0,10.0,1.0,1.0,9739.0,9579.0,204.0,206.0,8.0,94.0,159.0,26.2987012987013,9.74025974025974,38.63636363636363,3.5714285714285716,5.8441558441558445,12.987012987012987,2.5974025974025974,0.3246753246753247
28,320.0,88.0,23.0,130.0,14.0,11.0,44.0,8.0,2.0,130.0,312.0,8.0,0.0,3.0,9905.0,9744.0,215.0,231.0,5.0,84.0,174.0,27.5,7.1875,40.625,4.375,3.4375,13.75,2.5,0.625
29,270.0,80.0,24.0,89.0,9.0,15.0,44.0,5.0,4.0,123.0,256.0,14.0,1.0,2.0,9872.0,9711.0,205.0,199.0,4.0,67.0,133.0,29.62962962962963,8.88888888888889,32.96296296296296,3.3333333333333335,5.555555555555555,16.296296296296298,1.8518518518518519,1.4814814814814814
30,325.0,92.0,28.0,138.0,6.0,19.0,36.0,5.0,1.0,122.0,311.0,14.0,0.0,2.0,9915.0,9755.0,211.0,240.0,5.0,80.0,174.0,28.307692307692307,8.615384615384615,42.46153846153846,1.8461538461538463,5.846153846153846,11.076923076923077,1.5384615384615385,0.3076923076923077
31,250.0,73.0,18.0,109.0,8.0,15.0,20.0,5.0,2.0,114.0,236.0,14.0,2.0,1.0,9907.0,9746.0,192.0,169.0,5.0,76.0,129.0,29.2,7.2,43.6,3.2,6.0,8.0,2.0,0.8
32,336.0,92.0,34.0,133.0,6.0,16.0,49.0,6.0,0.0,122.0,330.0,6.0,1.0,2.0,9984.0,9823.0,205.0,209.0,3.0,124.0,182.0,27.38095238095238,10.119047619047619,39.583333333333336,1.7857142857142858,4.761904761904762,14.583333333333334,1.7857142857142858,0.0
33,228.0,68.0,24.0,87.0,9.0,12.0,25.0,3.0,0.0,111.0,212.0,16.0,0.0,1.0,9861.0,9702.0,166.0,148.0,7.0,73.0,112.0,29.82456140350877,10.526315789473685,38.1578947368421,3.9473684210526314,5.2631578947368425,10.964912280701755,1.3157894736842106,0.0
34,231.0,58.0,20.0,88.0,6.0,18.0,32.0,8.0,1.0,102.0,223.0,8.0,2.0,4.0,9746.0,9582.0,169.0,165.0,4.0,62.0,120.0,25.10822510822511,8.658008658008658,38.095238095238095,2.5974025974025974,7.792207792207792,13.852813852813853,3.463203463203463,0.4329004329004329
35,257.0,69.0,23.0,105.0,7.0,14.0,29.0,9.0,1.0,120.0,244.0,13.0,2.0,2.0,9776.0,9614.0,200.0,194.0,6.0,57.0,134.0,26.848249027237355,8.949416342412452,40.856031128404666,2.7237354085603114,5.447470817120623,11.284046692607005,3.501945525291829,0.38910505836575876
36,312.0,90.0,36.0,123.0,5.0,18.0,32.0,7.0,1.0,114.0,301.0,11.0,1.0,4.0,9871.0,9708.0,192.0,230.0,8.0,74.0,155.0,28.846153846153847,11.538461538461538,39.42307692307692,1.6025641025641026,5.769230769230769,10.256410256410257,2.2435897435897436,0.32051282051282054
37,332.0,91.0,29.0,133.0,5.0,21.0,41.0,10.0,2.0,125.0,320.0,12.0,2.0,3.0,9843.0,9680.0,213.0,217.0,7.0,108.0,174.0,27.40963855421687,8.734939759036145,40.06024096385542,1.5060240963855422,6.325301204819277,12.349397590361447,3.0120481927710845,0.6024096385542169
38,265.0,65.0,24.0,100.0,7.0,17.0,39.0,11.0,2.0,138.0,254.0,11.0,0.0,0.0,9857.0,9699.0,206.0,197.0,4.0,64.0,139.0,24.528301886792452,9.056603773584905,37.735849056603776,2.641509433962264,6.415094339622642,14.716981132075471,4.150943396226415,0.7547169811320755
39,302.0,73.0,28.0,125.0,10.0,20.0,33.0,10.0,3.0,144.0,289.0,13.0,0.0,1.0,9801.0,9642.0,229.0,234.0,5.0,63.0,158.0,24.172185430463575,9.271523178807946,41.390728476821195,3.3112582781456954,6.622516556291391,10.927152317880795,3.3112582781456954,0.9933774834437086
40,309.0,73.0,36.0,119.0,5.0,22.0,43.0,11.0,0.0,126.0,297.0,12.0,0.0,1.0,9979.0,9820.0,201.0,201.0,7.0,101.0,162.0,23.624595469255663,11.650485436893204,38.51132686084142,1.6181229773462784,7.119741100323624,13.915857605177994,3.559870550161812,0.0
41,294.0,91.0,19.0,119.0,9.0,15.0,31.0,8.0,2.0,129.0,275.0,19.0,0.0,3.0,9990.0,9829.0,208.0,194.0,10.0,90.0,150.0,30.952380952380953,6.462585034013605,40.476190476190474,3.061224489795918,5.1020408163265305,10.54421768707483,2.7210884353741496,0.6802721088435374
