,susceptible_mean,exposed_mean,mild_mean,severe_mean,recovered_mean,asymptomatic_mean,symptomatic_mean,susceptible_ci_lower,exposed_ci_lower,mild_ci_lower,severe_ci_lower,recovered_ci_lower,asymptomatic_ci_lower,symptomatic_ci_lower,susceptible_ci_upper,exposed_ci_upper,mild_ci_upper,severe_ci_upper,recovered_ci_upper,asymptomatic_ci_upper,symptomatic_ci_upper
202,230.45,0.15,0.06,0.05,4.06,0.04,0.11,196.9,0.0,0.0,0.0,4.0,0.0,0.0,259.525,2.0,1.0,1.0,5.0,1.0,1.0
203,230.77,0.12,0.03,0.05,4.06,0.04,0.08,194.9,0.0,0.0,0.0,4.0,0.0,0.0,260.09999999999997,2.0,0.5249999999999915,1.0,5.0,1.0,1.0
204,231.07,0.13,1.03,0.05,4.06,0.03,1.08,205.475,0.0,1.0,0.0,4.0,0.0,1.0,258.575,1.5249999999999915,1.5249999999999915,1.0,5.0,0.5249999999999915,2.0
205,229.92,0.13,1.03,0.05,4.06,0.02,1.08,206.0,0.0,1.0,0.0,4.0,0.0,1.0,260.15,1.5249999999999915,1.5249999999999915,1.0,5.0,0.0,2.0
206,230.79,0.14,1.01,0.05,4.08,0.02,1.06,204.425,0.0,1.0,0.0,4.0,0.0,1.0,258.525,1.0,1.0,1.0,5.0,0.0,2.0
207,231.55,0.14,1.03,0.05,4.08,0.02,1.08,205.95,0.0,1.0,0.0,4.0,0.0,1.0,259.04999999999995,1.5249999999999915,2.0,1.0,5.0,0.0,2.0
208,232.36,0.14,1.02,0.05,4.1,0.0,1.07,205.425,0.0,0.4750000000000001,0.0,4.0,0.0,0.4750000000000001,257.04999999999995,1.0,2.0,1.0,5.0,0.0,2.0
209,231.74,0.13,0.99,0.05,4.12,0.0,1.04,203.0,0.0,0.0,0.0,4.0,0.0,0.0,258.525,1.5249999999999915,2.0,1.0,5.0,0.0,2.0
210,232.14,0.08,0.93,0.05,4.2,0.0,0.98,201.475,0.0,0.0,0.0,4.0,0.0,0.0,271.575,1.0,2.0,1.0,5.0,0.0,2.0
211,232.21,0.11,0.76,0.05,4.33,0.01,0.81,201.0,0.0,0.0,0.0,4.0,0.0,0.0,268.525,1.0,1.0,1.0,5.0,0.0,2.0
212,232.54,0.11,0.6,0.06,4.49,0.01,0.66,202.475,0.0,0.0,0.0,4.0,0.0,0.0,268.15,1.0,1.0,1.0,5.0,0.0,2.0
213,234.42,0.13,0.04,0.06,4.06,0.01,0.1,207.0,0.0,0.0,0.0,4.0,0.0,0.0,266.0,1.0,1.0,1.0,5.0,0.0,1.0
214,234.46,0.17,0.04,0.06,4.06,0.01,0.1,210.475,0.0,0.0,0.0,4.0,0.0,0.0,262.575,1.0,1.0,1.0,5.0,0.0,1.0
